<<<<<<< HEAD
18/05/2022 23:02:29: Proceso: Asignación. Hilo: 139867101533952. Filas Ocupadas:0-3. Tamaño 4. Tiempo 24
18/05/2022 23:02:44: Proceso: Asignación. Hilo: 139867019278080. Filas Ocupadas:4-8. Tamaño 5. Tiempo 54
18/05/2022 23:02:54: Proceso: Desasignación. Hilo: 139867101533952. Filas Ocupadas:0-3. Tamaño 4. Tiempo 24
18/05/2022 23:02:57: Proceso: Asignación. Hilo: 139867010885376. Filas Ocupadas:0-2. Tamaño 3. Tiempo 52
18/05/2022 23:03:07: Proceso: Asignación. Hilo: 139867002492672. Filas Ocupadas:9-18. Tamaño 10. Tiempo 34
18/05/2022 23:03:19: Proceso: Asignación. Hilo: 139866994099968. Filas Ocupadas:19-23. Tamaño 5. Tiempo 59
18/05/2022 23:03:29: Proceso: Asignación. Hilo: 139866985707264. Filas Ocupadas:24-29. Tamaño 6. Tiempo 57
18/05/2022 23:03:39: Proceso: Desasignación. Hilo: 139867019278080. Filas Ocupadas:4-8. Tamaño 5. Tiempo 54
18/05/2022 23:03:42: Proceso: Desasignación. Hilo: 139867002492672. Filas Ocupadas:9-18. Tamaño 10. Tiempo 34
=======
21/05/2022 23:35:04: Proceso: Asignación. PID: 1. Filas Ocupadas:[0, 1, 2, 3, 4, 5, 6, 7, -1, -1].
21/05/2022 23:35:20: Proceso: Asignación. PID: 2. Filas Ocupadas:[8, 9, 10, 11, 12, 13, 14, 15, 16, -1].
21/05/2022 23:35:42: Proceso: Muere. El hilo 3 de tamaño 5, murió. Motivo: No encontró espacio
21/05/2022 23:35:56: Proceso: Desasignación. PID: 2. Filas Ocupadas:[8, 9, 10, 11, 12, 13, 14, 15, 16, -1].
21/05/2022 23:35:59: Proceso: Desasignación. PID: 1. Filas Ocupadas:[0, 1, 2, 3, 4, 5, 6, 7, -1, -1].
21/05/2022 23:36:05: Proceso: Asignación. PID: 4. Filas Ocupadas:[0, 1, 2, 3, 4, -1, -1, -1, -1, -1].
21/05/2022 23:36:23: Proceso: Asignación. PID: 5. Filas Ocupadas:[5, 6, 7, 8, 9, 10, 11, 12, -1, -1].
21/05/2022 23:36:45: Proceso: Asignación. PID: 6. Filas Ocupadas:[13, 14, 15, 16, 17, 18, -1, -1, -1, -1].
21/05/2022 23:36:53: Proceso: Desasignación. PID: 4. Filas Ocupadas:[0, 1, 2, 3, 4, -1, -1, -1, -1, -1].
21/05/2022 23:37:03: Proceso: Asignación. PID: 7. Filas Ocupadas:[0, 1, 2, 3, 4, -1, -1, -1, -1, -1].
21/05/2022 23:37:09: Proceso: Desasignación. PID: 5. Filas Ocupadas:[5, 6, 7, 8, 9, 10, 11, 12, -1, -1].
21/05/2022 23:37:21: Proceso: Asignación. PID: 8. Filas Ocupadas:[5, 6, 7, 8, 9, -1, -1, -1, -1, -1].
21/05/2022 23:37:37: Proceso: Desasignación. PID: 7. Filas Ocupadas:[0, 1, 2, 3, 4, -1, -1, -1, -1, -1].
21/05/2022 23:37:39: Proceso: Desasignación. PID: 6. Filas Ocupadas:[13, 14, 15, 16, 17, 18, -1, -1, -1, -1].
21/05/2022 23:37:41: Proceso: Desasignación. PID: 8. Filas Ocupadas:[5, 6, 7, 8, 9, -1, -1, -1, -1, -1].
21/05/2022 23:37:43: Proceso: Asignación. PID: 9. Filas Ocupadas:[0, 1, 2, 3, -1, -1, -1, -1, -1, -1].
21/05/2022 23:38:00: Proceso: Asignación. PID: 10. Filas Ocupadas:[4, 5, -1, -1, -1, -1, -1, -1, -1, -1].
21/05/2022 23:38:19: Proceso: Asignación. PID: 11. Filas Ocupadas:[6, 7, 8, 9, 10, -1, -1, -1, -1, -1].
21/05/2022 23:38:21: Proceso: Desasignación. PID: 9. Filas Ocupadas:[0, 1, 2, 3, -1, -1, -1, -1, -1, -1].
21/05/2022 23:38:40: Proceso: Asignación. PID: 12. Filas Ocupadas:[0, 1, 2, 3, 11, 12, 13, -1, -1, -1].
21/05/2022 23:38:40: Proceso: Desasignación. PID: 11. Filas Ocupadas:[6, 7, 8, 9, 10, -1, -1, -1, -1, -1].
21/05/2022 23:38:43: Proceso: Desasignación. PID: 10. Filas Ocupadas:[4, 5, -1, -1, -1, -1, -1, -1, -1, -1].
21/05/2022 23:39:05: Proceso: Asignación. PID: 13. Filas Ocupadas:[4, 5, -1, -1, -1, -1, -1, -1, -1, -1].
21/05/2022 23:39:19: Proceso: Desasignación. PID: 12. Filas Ocupadas:[0, 1, 2, 3, 11, 12, 13, -1, -1, -1].
21/05/2022 23:39:26: Proceso: Asignación. PID: 14. Filas Ocupadas:[0, 1, 2, 3, -1, -1, -1, -1, -1, -1].
21/05/2022 23:39:37: Proceso: Desasignación. PID: 13. Filas Ocupadas:[4, 5, -1, -1, -1, -1, -1, -1, -1, -1].
21/05/2022 23:39:42: Proceso: Asignación. PID: 15. Filas Ocupadas:[4, 5, -1, -1, -1, -1, -1, -1, -1, -1].
21/05/2022 23:39:48: Proceso: Desasignación. PID: 14. Filas Ocupadas:[0, 1, 2, 3, -1, -1, -1, -1, -1, -1].
21/05/2022 23:40:06: Proceso: Asignación. PID: 16. Filas Ocupadas:[0, 1, 2, 3, 6, 7, -1, -1, -1, -1].
21/05/2022 23:40:22: Proceso: Asignación. PID: 17. Filas Ocupadas:[8, 9, 10, 11, -1, -1, -1, -1, -1, -1].
21/05/2022 23:40:27: Proceso: Desasignación. PID: 15. Filas Ocupadas:[4, 5, -1, -1, -1, -1, -1, -1, -1, -1].
21/05/2022 23:40:40: Proceso: Asignación. PID: 18. Filas Ocupadas:[4, 5, 12, 13, 14, 15, 16, -1, -1, -1].
>>>>>>> Revvro
